{'t': '15:16:39.376653', 'id': 210}
{'t': '15:16:35.144653', 'id': 209}
{'t': '15:16:23.061653', 'id': 208}
{'t': '15:15:53.842653', 'id': 207}
{'t': '15:15:41.362653', 'id': 206}
{'t': '15:15:17.951653', 'id': 205}
{'t': '15:14:50.559653', 'id': 204}
{'t': '15:14:32.536653', 'id': 203}
{'t': '15:14:25.396653', 'id': 202}
{'t': '15:14:23.314653', 'id': 201}
{'t': '15:14:10.926653', 'id': 200}
{'t': '15:13:47.789653', 'id': 199}
{'t': '15:13:18.621653', 'id': 198}
{'t': '15:12:55.573653', 'id': 197}
{'t': '15:12:33.113653', 'id': 196}
{'t': '15:12:04.829653', 'id': 195}
{'t': '15:11:51.809653', 'id': 194}
{'t': '15:11:41.422653', 'id': 193}
{'t': '15:11:22.406653', 'id': 192}
{'t': '15:11:19.014653', 'id': 191}
{'t': '15:11:13.688653', 'id': 190}
{'t': '15:11:01.535653', 'id': 189}
{'t': '15:10:54.521653', 'id': 188}
{'t': '15:10:36.021653', 'id': 187}
{'t': '15:10:27.731653', 'id': 186}
{'t': '15:10:24.451653', 'id': 185}
{'t': '15:10:22.332653', 'id': 184}
{'t': '15:09:54.254653', 'id': 183}
{'t': '15:09:31.117653', 'id': 182}
{'t': '15:09:11.920653', 'id': 181}
{'t': '15:08:41.693653', 'id': 180}
{'t': '15:08:11.198653', 'id': 179}
{'t': '15:08:03.983653', 'id': 178}
{'t': '15:07:42.580653', 'id': 177}
{'t': '15:07:25.207653', 'id': 176}
{'t': '15:07:19.824653', 'id': 175}
{'t': '15:07:04.816653', 'id': 174}
{'t': '15:06:50.554653', 'id': 173}
{'t': '15:06:27.324653', 'id': 172}
{'t': '15:06:02.907653', 'id': 171}
{'t': '15:05:45.445653', 'id': 170}
{'t': '15:05:17.316653', 'id': 169}
{'t': '15:04:47.148653', 'id': 168}
{'t': '15:04:42.705653', 'id': 167}
{'t': '15:04:27.653653', 'id': 166}
{'t': '15:04:23.366653', 'id': 165}
{'t': '15:04:11.096653', 'id': 164}
{'t': '15:04:08.706653', 'id': 163}
{'t': '15:03:49.674653', 'id': 162}
{'t': '15:03:45.517653', 'id': 161}
{'t': '15:03:31.289653', 'id': 160}
{'t': '15:03:28.894653', 'id': 159}
{'t': '15:03:23.629653', 'id': 158}
{'t': '15:03:07.384653', 'id': 157}
{'t': '15:03:03.201653', 'id': 156}
{'t': '15:02:59.129653', 'id': 155}
{'t': '15:02:51.737653', 'id': 154}
{'t': '15:02:47.393653', 'id': 153}
{'t': '15:02:28.027653', 'id': 152}
{'t': '15:02:07.701653', 'id': 151}
{'t': '15:02:03.218653', 'id': 150}
{'t': '15:01:39.878653', 'id': 149}
{'t': '15:01:31.508653', 'id': 148}
{'t': '15:01:27.133653', 'id': 147}
{'t': '15:01:07.658653', 'id': 146}
{'t': '15:00:52.211653', 'id': 145}
{'t': '15:00:42.982653', 'id': 144}
{'t': '15:00:28.763653', 'id': 143}
{'t': '15:00:24.334653', 'id': 142}
{'t': '15:00:01.975653', 'id': 141}
{'t': '14:59:38.798653', 'id': 140}
{'t': '14:59:20.302653', 'id': 139}
{'t': '14:58:57.273653', 'id': 138}
{'t': '14:58:39.840653', 'id': 137}
{'t': '14:58:16.436653', 'id': 136}
{'t': '14:58:07.258653', 'id': 135}
{'t': '14:57:45.244653', 'id': 134}
{'t': '14:57:16.938653', 'id': 133}
{'t': '14:57:09.714653', 'id': 132}
{'t': '14:56:51.545653', 'id': 131}
{'t': '14:56:44.289653', 'id': 130}
{'t': '14:56:28.914653', 'id': 129}
{'t': '14:56:00.774653', 'id': 128}
{'t': '14:55:41.441653', 'id': 127}
{'t': '14:55:11.344653', 'id': 126}
{'t': '14:54:43.268653', 'id': 125}
{'t': '14:54:18.105653', 'id': 124}
{'t': '14:53:49.757653', 'id': 123}
{'t': '14:53:42.674653', 'id': 122}
{'t': '14:53:27.642653', 'id': 121}
{'t': '14:53:00.506653', 'id': 120}
{'t': '14:52:52.230653', 'id': 119}
{'t': '14:52:31.174653', 'id': 118}
{'t': '14:52:09.082653', 'id': 117}
{'t': '14:51:52.934653', 'id': 116}
{'t': '14:51:30.454653', 'id': 115}
{'t': '14:51:06.965653', 'id': 114}
{'t': '14:51:00.472653', 'id': 113}
{'t': '14:50:37.197653', 'id': 112}
{'t': '14:50:12.168653', 'id': 111}
{'t': '14:49:41.856653', 'id': 110}
{'t': '14:49:33.731653', 'id': 109}
{'t': '14:49:12.535653', 'id': 108}
{'t': '14:49:04.459653', 'id': 107}
{'t': '14:48:58.038653', 'id': 106}
{'t': '14:48:34.845653', 'id': 105}
{'t': '14:48:09.446653', 'id': 104}
{'t': '14:47:53.430653', 'id': 103}
{'t': '14:47:39.255653', 'id': 102}
{'t': '14:47:13.076653', 'id': 101}
{'t': '14:46:54.975653', 'id': 100}
{'t': '14:46:27.765653', 'id': 99}
{'t': '14:46:12.637653', 'id': 98}
{'t': '14:46:08.194653', 'id': 97}
{'t': '14:45:55.782653', 'id': 96}
{'t': '14:45:47.756653', 'id': 95}
{'t': '14:45:22.615653', 'id': 94}
{'t': '14:45:02.604653', 'id': 93}
{'t': '14:44:41.573653', 'id': 92}
{'t': '14:44:15.159653', 'id': 91}
{'t': '14:44:05.960653', 'id': 90}
{'t': '14:43:44.883653', 'id': 89}
{'t': '14:43:22.668653', 'id': 88}
{'t': '14:43:04.554653', 'id': 87}
{'t': '14:42:35.473653', 'id': 86}
